policy_id,member_id,agent_id,carrier,plan_type,effective_date,expiry_date,monthly_premium,annual_premium,commission_rate,monthly_commission,status,term_months
POL0000000,MEM000001,AGT0032,VSP,Dental Premium,2023-06-01,2024-06-01,55.5,666.0,0.22,12.21,expired,12
POL0000001,MEM000002,AGT0079,Zurich,Vision Basic,2024-04-01,2027-04-01,19.42,233.04,0.16,3.11,active,36
POL0000002,MEM000003,AGT0014,MetLife,Dental Premium,2024-12-01,2026-12-01,53.51,642.12,0.22,11.77,active,24
POL0000003,MEM000004,AGT0035,VSP,Vision Basic,2023-05-01,2024-05-01,19.96,239.52,0.16,3.19,active,12
POL0000004,MEM000005,AGT0065,VSP,Dental Premium,2024-01-01,2025-01-01,54.45,653.4,0.22,11.98,active,12
POL0000005,MEM000006,AGT0036,MetLife,Dental Basic,2023-03-01,2025-03-01,30.79,369.48,0.18,5.54,active,24
POL0000006,MEM000007,AGT0057,Zurich,Vision Premium,2023-06-01,2024-06-01,36.57,438.84,0.2,7.31,cancelled,12
POL0000007,MEM000008,AGT0010,Zurich,Dental+Vision Bundle,2024-08-01,2026-08-01,78.35,940.2,0.25,19.59,active,24
POL0000008,MEM000009,AGT0075,Zurich,Dental Basic,2024-08-01,2025-08-01,29.94,359.28,0.18,5.39,active,12
POL0000009,MEM000010,AGT0047,MetLife,Dental+Vision Bundle,2023-06-01,2024-06-01,72.91,874.92,0.25,18.23,active,12
POL0000010,MEM000011,AGT0046,Zurich,Dental+Vision Bundle,2023-09-01,2026-09-01,71.61,859.32,0.25,17.9,cancelled,36
POL0000011,MEM000012,AGT0021,MetLife,Dental+Vision Bundle,2024-03-01,2026-03-01,75.58,906.96,0.25,18.89,active,24
POL0000012,MEM000013,AGT0053,Zurich,Dental+Vision Bundle,2023-02-01,2024-02-01,72.2,866.4,0.25,18.05,active,12
POL0000013,MEM000014,AGT0014,VSP,Dental+Vision Bundle,2023-10-01,2024-10-01,75.13,901.56,0.25,18.78,active,12
POL0000014,MEM000015,AGT0059,VSP,Dental Premium,2024-05-01,2025-05-01,54.69,656.28,0.22,12.03,active,12
POL0000015,MEM000016,AGT0025,VSP,Dental Premium,2023-09-01,2026-09-01,54.44,653.28,0.22,11.98,active,36
POL0000016,MEM000017,AGT0066,VSP,Vision Premium,2023-04-01,2025-04-01,34.41,412.92,0.2,6.88,active,24
POL0000017,MEM000018,AGT0015,VSP,Dental Basic,2024-08-01,2025-08-01,30.86,370.32,0.18,5.55,cancelled,12
POL0000018,MEM000019,AGT0077,VSP,Dental Premium,2023-10-01,2025-10-01,56.82,681.84,0.22,12.5,active,24
POL0000019,MEM000020,AGT0066,MetLife,Dental Premium,2023-12-01,2024-12-01,55.62,667.44,0.22,12.24,cancelled,12
POL0000020,MEM000021,AGT0006,Zurich,Dental Premium,2024-09-01,2025-03-01,53.13,637.56,0.22,11.69,expired,6
POL0000021,MEM000022,AGT0047,VSP,Dental Basic,2024-07-01,2025-07-01,28.86,346.32,0.18,5.19,active,12
POL0000022,MEM000023,AGT0041,Zurich,Dental+Vision Bundle,2024-12-01,2026-12-01,77.17,926.04,0.25,19.29,pending,24
POL0000023,MEM000024,AGT0053,VSP,Dental Premium,2023-12-01,2024-12-01,56.3,675.6,0.22,12.39,active,12
POL0000024,MEM000025,AGT0025,VSP,Vision Premium,2023-11-01,2024-11-01,33.6,403.2,0.2,6.72,expired,12
POL0000025,MEM000026,AGT0073,VSP,Dental Premium,2024-02-01,2027-02-01,54.62,655.44,0.22,12.02,active,36
POL0000026,MEM000027,AGT0027,VSP,Vision Premium,2023-02-01,2024-02-01,35.64,427.68,0.2,7.13,expired,12
POL0000027,MEM000028,AGT0057,VSP,Vision Premium,2024-10-01,2026-10-01,34.66,415.92,0.2,6.93,active,24
POL0000028,MEM000029,AGT0011,VSP,Vision Basic,2024-07-01,2027-07-01,19.39,232.68,0.16,3.1,active,36
POL0000029,MEM000030,AGT0031,Zurich,Dental Premium,2024-11-01,2025-11-01,57.64,691.68,0.22,12.68,active,12
POL0000030,MEM000031,AGT0006,MetLife,Dental+Vision Bundle,2023-08-01,2024-08-01,77.37,928.44,0.25,19.34,cancelled,12
POL0000031,MEM000032,AGT0054,Zurich,Vision Basic,2024-10-01,2026-10-01,19.2,230.4,0.16,3.07,active,24
POL0000032,MEM000033,AGT0032,MetLife,Vision Premium,2024-02-01,2025-02-01,34.0,408.0,0.2,6.8,expired,12
POL0000033,MEM000034,AGT0029,MetLife,Dental+Vision Bundle,2023-02-01,2024-02-01,71.91,862.92,0.25,17.98,expired,12
POL0000034,MEM000035,AGT0072,MetLife,Dental+Vision Bundle,2024-07-01,2025-07-01,77.64,931.68,0.25,19.41,cancelled,12
POL0000035,MEM000036,AGT0060,Zurich,Vision Basic,2023-06-01,2024-06-01,20.76,249.12,0.16,3.32,active,12
POL0000036,MEM000037,AGT0057,Zurich,Dental+Vision Bundle,2024-08-01,2025-08-01,78.35,940.2,0.25,19.59,cancelled,12
POL0000037,MEM000038,AGT0058,MetLife,Vision Premium,2024-06-01,2025-06-01,33.97,407.64,0.2,6.79,expired,12
POL0000038,MEM000039,AGT0032,Zurich,Dental Premium,2024-06-01,2025-06-01,54.58,654.96,0.22,12.01,active,12
POL0000039,MEM000040,AGT0036,VSP,Dental Basic,2024-07-01,2025-07-01,30.54,366.48,0.18,5.5,active,12
POL0000040,MEM000041,AGT0043,VSP,Dental+Vision Bundle,2023-11-01,2024-11-01,77.26,927.12,0.25,19.32,cancelled,12
POL0000041,MEM000042,AGT0030,VSP,Vision Premium,2023-04-01,2024-04-01,33.66,403.92,0.2,6.73,expired,12
POL0000042,MEM000043,AGT0053,VSP,Vision Basic,2023-09-01,2024-03-01,20.22,242.64,0.16,3.24,active,6
POL0000043,MEM000044,AGT0054,VSP,Dental+Vision Bundle,2024-04-01,2025-04-01,71.52,858.24,0.25,17.88,expired,12
POL0000044,MEM000045,AGT0049,VSP,Dental Basic,2024-09-01,2025-09-01,30.3,363.6,0.18,5.45,active,12
POL0000045,MEM000046,AGT0054,Zurich,Vision Premium,2024-01-01,2025-01-01,33.81,405.72,0.2,6.76,active,12
POL0000046,MEM000047,AGT0029,VSP,Dental Premium,2024-08-01,2025-08-01,55.08,660.96,0.22,12.12,active,12
POL0000047,MEM000048,AGT0052,Zurich,Dental Basic,2023-02-01,2024-02-01,30.57,366.84,0.18,5.5,expired,12
POL0000048,MEM000049,AGT0069,MetLife,Dental+Vision Bundle,2024-05-01,2026-05-01,73.0,876.0,0.25,18.25,active,24
POL0000049,MEM000050,AGT0011,Zurich,Dental Premium,2024-09-01,2025-09-01,56.41,676.92,0.22,12.41,active,12
POL0000050,MEM000051,AGT0034,VSP,Dental Premium,2024-05-01,2025-05-01,53.77,645.24,0.22,11.83,cancelled,12
POL0000051,MEM000052,AGT0049,VSP,Vision Premium,2024-05-01,2025-05-01,33.78,405.36,0.2,6.76,expired,12
POL0000052,MEM000053,AGT0061,MetLife,Vision Premium,2024-04-01,2026-04-01,36.36,436.32,0.2,7.27,active,24
POL0000053,MEM000054,AGT0009,Zurich,Dental Basic,2023-03-01,2025-03-01,28.7,344.4,0.18,5.17,active,24
POL0000054,MEM000055,AGT0003,Zurich,Dental Basic,2023-03-01,2025-03-01,29.46,353.52,0.18,5.3,expired,24
POL0000055,MEM000056,AGT0073,MetLife,Vision Basic,2023-06-01,2023-12-01,20.47,245.64,0.16,3.28,pending,6
POL0000056,MEM000057,AGT0078,Zurich,Dental+Vision Bundle,2023-10-01,2026-10-01,73.15,877.8,0.25,18.29,active,36
POL0000057,MEM000058,AGT0014,Zurich,Dental Basic,2023-05-01,2024-05-01,29.03,348.36,0.18,5.23,expired,12
POL0000058,MEM000059,AGT0051,Zurich,Dental Basic,2023-12-01,2025-12-01,31.46,377.52,0.18,5.66,cancelled,24
POL0000059,MEM000060,AGT0039,Zurich,Vision Basic,2024-09-01,2025-09-01,19.07,228.84,0.16,3.05,cancelled,12
POL0000060,MEM000061,AGT0045,Zurich,Dental Premium,2023-06-01,2024-06-01,55.38,664.56,0.22,12.18,active,12
POL0000061,MEM000062,AGT0044,MetLife,Dental+Vision Bundle,2024-02-01,2025-02-01,77.43,929.16,0.25,19.36,cancelled,12
POL0000062,MEM000063,AGT0047,Zurich,Dental+Vision Bundle,2024-06-01,2025-06-01,73.63,883.56,0.25,18.41,active,12
POL0000063,MEM000064,AGT0023,Zurich,Vision Basic,2024-05-01,2025-05-01,20.54,246.48,0.16,3.29,active,12
POL0000064,MEM000065,AGT0069,VSP,Vision Basic,2024-11-01,2025-05-01,20.53,246.36,0.16,3.28,active,6
POL0000065,MEM000066,AGT0032,MetLife,Dental Premium,2024-09-01,2025-09-01,55.88,670.56,0.22,12.29,active,12
POL0000066,MEM000067,AGT0073,Zurich,Vision Premium,2024-05-01,2027-05-01,33.4,400.8,0.2,6.68,active,36
POL0000067,MEM000068,AGT0042,MetLife,Vision Basic,2024-01-01,2026-01-01,19.6,235.2,0.16,3.14,expired,24
POL0000068,MEM000069,AGT0036,Zurich,Vision Premium,2024-01-01,2025-01-01,34.87,418.44,0.2,6.97,cancelled,12
POL0000069,MEM000070,AGT0067,MetLife,Dental Basic,2023-11-01,2026-11-01,28.59,343.08,0.18,5.15,pending,36
POL0000070,MEM000071,AGT0031,Zurich,Vision Basic,2024-03-01,2025-03-01,20.72,248.64,0.16,3.32,cancelled,12
POL0000071,MEM000072,AGT0012,VSP,Dental Basic,2024-06-01,2025-06-01,30.4,364.8,0.18,5.47,expired,12
POL0000072,MEM000073,AGT0048,VSP,Vision Basic,2023-10-01,2024-10-01,20.88,250.56,0.16,3.34,expired,12
POL0000073,MEM000074,AGT0043,VSP,Vision Premium,2024-01-01,2025-01-01,35.02,420.24,0.2,7.0,active,12
POL0000074,MEM000075,AGT0030,MetLife,Vision Premium,2023-11-01,2024-11-01,36.61,439.32,0.2,7.32,active,12
POL0000075,MEM000076,AGT0024,MetLife,Dental Basic,2023-12-01,2026-12-01,29.85,358.2,0.18,5.37,active,36
POL0000076,MEM000077,AGT0068,Zurich,Dental Premium,2024-06-01,2025-06-01,54.87,658.44,0.22,12.07,active,12
POL0000077,MEM000078,AGT0030,VSP,Dental Basic,2023-05-01,2024-05-01,28.52,342.24,0.18,5.13,expired,12
POL0000078,MEM000079,AGT0036,MetLife,Dental+Vision Bundle,2023-02-01,2024-02-01,76.12,913.44,0.25,19.03,cancelled,12
POL0000079,MEM000080,AGT0063,MetLife,Dental+Vision Bundle,2024-08-01,2026-08-01,78.33,939.96,0.25,19.58,active,24
POL0000080,MEM000081,AGT0062,VSP,Dental Premium,2024-09-01,2025-09-01,57.08,684.96,0.22,12.56,expired,12
POL0000081,MEM000082,AGT0015,MetLife,Dental Premium,2023-03-01,2024-03-01,56.69,680.28,0.22,12.47,active,12
POL0000082,MEM000083,AGT0020,MetLife,Dental+Vision Bundle,2023-04-01,2026-04-01,72.63,871.56,0.25,18.16,active,36
POL0000083,MEM000084,AGT0016,Zurich,Vision Premium,2023-12-01,2024-12-01,36.4,436.8,0.2,7.28,active,12
POL0000084,MEM000085,AGT0029,Zurich,Dental Premium,2024-10-01,2025-10-01,55.81,669.72,0.22,12.28,active,12
POL0000085,MEM000086,AGT0055,VSP,Vision Basic,2024-04-01,2025-04-01,19.58,234.96,0.16,3.13,pending,12
POL0000086,MEM000087,AGT0028,VSP,Vision Premium,2023-04-01,2025-04-01,34.19,410.28,0.2,6.84,cancelled,24
POL0000087,MEM000088,AGT0071,MetLife,Dental Basic,2023-07-01,2025-07-01,28.96,347.52,0.18,5.21,active,24
POL0000088,MEM000089,AGT0061,VSP,Dental Basic,2024-03-01,2026-03-01,30.75,369.0,0.18,5.54,active,24
POL0000089,MEM000090,AGT0010,Zurich,Dental Basic,2023-11-01,2024-11-01,29.81,357.72,0.18,5.37,active,12
POL0000090,MEM000091,AGT0055,MetLife,Vision Basic,2023-10-01,2025-10-01,19.17,230.04,0.16,3.07,cancelled,24
POL0000091,MEM000092,AGT0019,MetLife,Dental Basic,2024-11-01,2025-11-01,30.46,365.52,0.18,5.48,pending,12
POL0000092,MEM000093,AGT0037,VSP,Dental Basic,2023-12-01,2024-12-01,29.31,351.72,0.18,5.28,active,12
POL0000093,MEM000094,AGT0065,Zurich,Vision Basic,2023-12-01,2024-12-01,19.2,230.4,0.16,3.07,active,12
POL0000094,MEM000095,AGT0056,Zurich,Dental Premium,2023-04-01,2024-04-01,55.21,662.52,0.22,12.15,cancelled,12
POL0000095,MEM000096,AGT0030,Zurich,Dental+Vision Bundle,2023-10-01,2025-10-01,74.75,897.0,0.25,18.69,active,24
POL0000096,MEM000097,AGT0035,Zurich,Dental Basic,2024-09-01,2026-09-01,28.89,346.68,0.18,5.2,expired,24
POL0000097,MEM000098,AGT0057,VSP,Dental Basic,2023-07-01,2026-07-01,30.54,366.48,0.18,5.5,cancelled,36
POL0000098,MEM000099,AGT0012,VSP,Dental Premium,2024-09-01,2025-09-01,56.78,681.36,0.22,12.49,active,12
POL0000099,MEM000100,AGT0021,VSP,Dental Premium,2024-01-01,2024-07-01,57.2,686.4,0.22,12.58,cancelled,6
POL0000100,MEM000101,AGT0071,MetLife,Vision Basic,2024-06-01,2024-12-01,19.39,232.68,0.16,3.1,active,6
POL0000101,MEM000102,AGT0015,VSP,Dental+Vision Bundle,2023-12-01,2024-12-01,72.6,871.2,0.25,18.15,active,12
POL0000102,MEM000103,AGT0053,MetLife,Dental Basic,2023-02-01,2026-02-01,28.6,343.2,0.18,5.15,expired,36
POL0000103,MEM000104,AGT0007,MetLife,Dental Premium,2024-02-01,2025-02-01,54.34,652.08,0.22,11.95,active,12
POL0000104,MEM000105,AGT0063,MetLife,Dental Basic,2023-06-01,2024-06-01,31.3,375.6,0.18,5.63,active,12
POL0000105,MEM000106,AGT0040,Zurich,Dental Basic,2024-11-01,2025-11-01,28.99,347.88,0.18,5.22,active,12
POL0000106,MEM000107,AGT0015,VSP,Dental+Vision Bundle,2024-03-01,2025-03-01,74.12,889.44,0.25,18.53,active,12
POL0000107,MEM000108,AGT0038,Zurich,Vision Premium,2024-11-01,2025-05-01,33.47,401.64,0.2,6.69,expired,6
POL0000108,MEM000109,AGT0032,VSP,Vision Basic,2024-04-01,2026-04-01,19.37,232.44,0.16,3.1,cancelled,24
POL0000109,MEM000110,AGT0066,Zurich,Dental+Vision Bundle,2024-02-01,2026-02-01,77.19,926.28,0.25,19.3,cancelled,24
POL0000110,MEM000111,AGT0044,Zurich,Dental Premium,2023-04-01,2024-04-01,53.78,645.36,0.22,11.83,cancelled,12
POL0000111,MEM000112,AGT0076,Zurich,Dental+Vision Bundle,2023-02-01,2024-02-01,71.26,855.12,0.25,17.82,active,12
POL0000112,MEM000113,AGT0069,VSP,Dental Premium,2024-06-01,2025-06-01,56.34,676.08,0.22,12.39,active,12
POL0000113,MEM000114,AGT0059,VSP,Dental+Vision Bundle,2024-08-01,2025-08-01,77.28,927.36,0.25,19.32,cancelled,12
POL0000114,MEM000115,AGT0030,VSP,Dental Basic,2023-10-01,2024-10-01,29.18,350.16,0.18,5.25,active,12
POL0000115,MEM000116,AGT0020,VSP,Dental+Vision Bundle,2024-05-01,2025-05-01,74.02,888.24,0.25,18.5,expired,12
POL0000116,MEM000117,AGT0043,MetLife,Dental+Vision Bundle,2023-06-01,2025-06-01,74.1,889.2,0.25,18.52,expired,24
POL0000117,MEM000118,AGT0059,MetLife,Vision Premium,2024-04-01,2025-04-01,33.37,400.44,0.2,6.67,active,12
POL0000118,MEM000119,AGT0061,VSP,Dental Premium,2024-03-01,2026-03-01,56.71,680.52,0.22,12.48,active,24
POL0000119,MEM000120,AGT0069,VSP,Dental+Vision Bundle,2024-03-01,2025-03-01,75.46,905.52,0.25,18.86,active,12
POL0000120,MEM000121,AGT0005,Zurich,Dental Basic,2024-11-01,2025-11-01,28.89,346.68,0.18,5.2,active,12
POL0000121,MEM000122,AGT0012,VSP,Dental+Vision Bundle,2024-11-01,2025-05-01,73.26,879.12,0.25,18.32,active,6
POL0000122,MEM000123,AGT0022,Zurich,Dental Premium,2024-11-01,2026-11-01,55.42,665.04,0.22,12.19,active,24
POL0000123,MEM000124,AGT0008,VSP,Dental Premium,2023-02-01,2026-02-01,56.93,683.16,0.22,12.52,cancelled,36
POL0000124,MEM000125,AGT0068,VSP,Vision Basic,2024-04-01,2027-04-01,20.6,247.2,0.16,3.3,pending,36
POL0000125,MEM000126,AGT0011,Zurich,Dental+Vision Bundle,2023-08-01,2024-08-01,77.83,933.96,0.25,19.46,expired,12
POL0000126,MEM000127,AGT0075,MetLife,Dental Basic,2024-10-01,2026-10-01,31.09,373.08,0.18,5.6,active,24
POL0000127,MEM000128,AGT0033,Zurich,Dental Basic,2024-11-01,2025-11-01,31.2,374.4,0.18,5.62,expired,12
POL0000128,MEM000129,AGT0021,MetLife,Dental Premium,2024-05-01,2025-05-01,54.04,648.48,0.22,11.89,active,12
POL0000129,MEM000130,AGT0055,Zurich,Dental Premium,2024-01-01,2024-07-01,56.98,683.76,0.22,12.54,active,6
